nb,time_to_insert,time_to_extract
20,0.000003,0.000004
40,0.000002,0.000008
80,0.000004,0.000017
160,0.000010,0.000038
320,0.000023,0.000086
640,0.000044,0.000192
1280,0.000095,0.000429
2560,0.000170,0.000938
5120,0.000349,0.002042
10240,0.000745,0.005232
20480,0.001705,0.010782
40960,0.004258,0.026284
81920,0.005716,0.040106
163840,0.007714,0.091196
327680,0.015561,0.155360
655360,0.011678,0.126415
