nb,time_to_insert,time_to_extract
20,0.000002,0.000004
40,0.000002,0.000008
80,0.000004,0.000018
160,0.000011,0.000042
320,0.000025,0.000096
640,0.000041,0.000211
1280,0.000072,0.000458
2560,0.000138,0.001031
5120,0.000289,0.002286
10240,0.000691,0.004135
20480,0.000721,0.004591
40960,0.000746,0.006298
81920,0.001359,0.013034
163840,0.002722,0.027025
327680,0.008954,0.070710
655360,0.010937,0.126536
