nb,time_to_insert,time_to_extract
20,0.000004,0.000005
40,0.000004,0.000011
80,0.000006,0.000025
160,0.000014,0.000054
320,0.000031,0.000122
640,0.000066,0.000274
1280,0.000122,0.000737
2560,0.000230,0.001264
5120,0.000372,0.002459
10240,0.000673,0.005731
20480,0.001511,0.011647
40960,0.003564,0.022159
81920,0.004914,0.040855
163840,0.011918,0.059090
327680,0.007491,0.058536
655360,0.011822,0.123776
